experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype,val_rmse_zscore,gap_zscore,test_mae,mono_violations,mono_rate,max_jump,mean_abs_diff,mean_rolling_var,mean_ma_dev,slope,slope_dev,slope_consistency,final_pred
Exp_011,RF,35.32125702404675,16.008251181213097,2.206440705122052,26.343140105820744,8.978116918226007,False,Inlier,0.5295481960237891,-0.3033606408739632,5.774174273012923,33,0.21710526315789475,8.296759890270373,1.329065710635316,8.923315572446565,3.909634544699149,-0.8838279044450174,0.11617209555498265,0.411571180946811,0.13768051084145022
Exp_011,XGB,34.64224595891734,25.884953597677285,1.3383159381837126,26.343140105820744,8.299105853096599,False,Inlier,-0.6410801334930655,-0.28473747245813014,5.7894059848162085,26,0.17105263157894737,6.86541748046875,1.0625255045137907,7.030928035794754,3.641978546623027,-0.8612854857065972,0.13871451429340276,0.28070535694801413,14.760661125183105
Exp_011,SVR,32.97135945131538,26.475338617193678,1.2453611992672697,26.343140105820744,6.628219345494635,False,Inlier,0.5722939356041898,-0.5138127111653445,4.92933553381511,60,0.39473684210526316,8.884516840620094,2.7016893485251363,12.440239947316073,4.202123820950139,-0.9133972565320214,0.08660274346797858,0.4062681735959117,3.4540958756567193
Exp_011,LSTM,17.435651783773384,11.785308381724414,1.4794395885992266,26.343140105820744,-8.90748832204736,False,Inlier,-1.0116381315308607,0.05620871184217254,5.639849276324503,61,0.40131578947368424,10.571868896484375,2.372431030398921,20.67551129792283,4.915386873870139,-1.0317884446078749,0.03178844460787489,0.8961960453651513,4.531017780303955
Exp_011,CNN,19.714920760326113,8.537456336963979,2.309226540341754,26.343140105820744,-6.628219345494632,False,Inlier,-0.30810532801232055,0.9957880720337853,8.694615787929958,47,0.3092105263157895,10.076217651367188,2.9684592861878243,17.76466633282002,5.0838120319620925,-1.0348251020082504,0.0348251020082504,0.7078919380620678,5.791312217712402
Exp_011,Transformer,6.818199643198469,4.8663294052594885,1.4010970231134405,26.343140105820744,-19.524940462622276,False,Inlier,-0.8752465712628421,-0.890889528516491,2.367041826248169,2,0.013157894736842105,2.64453125,1.042380922719052,9.248009762825095,4.533840800598085,-0.9982743459178729,0.0017256540821271038,0.21851900092910445,3.308992385864258
Exp_012,RF,35.03132790383133,13.18370520958839,2.6571686295255876,28.234056657370875,6.797271246460458,False,Inlier,0.1603696940829158,0.24262282979442545,5.593145366019259,45,0.29605263157894735,5.9138489732187125,1.5012052385363366,9.148605447015004,3.9384882687397464,-0.8840236447288078,0.11597635527119221,0.33223387069965715,0.5998109941874292
Exp_012,XGB,33.274190492477615,24.862378776335316,1.3383349514467573,28.234056657370875,5.04013383510674,False,Inlier,-0.9428583037370675,-0.28467801631135037,2.9331491507735907,41,0.26973684210526316,8.253211975097656,1.2306453428770368,8.434011868248522,3.9307741714965907,-0.9439989907311475,0.05600100926885254,0.32203964737291463,7.884920120239258
Exp_012,SVR,32.74812688245945,25.773811939633788,1.2705969516329434,28.234056657370875,4.514070225088577,False,Inlier,-0.07208543222951305,0.11505356904822187,5.1687109644472695,55,0.3618421052631579,8.292940069821995,2.6146122274540593,12.494564589498534,4.188138894259195,-0.9034045057798986,0.09659549422010139,0.4186037709013301,3.461093757535224
Exp_012,LSTM,23.719986432282298,21.198637519095787,1.118939196489174,28.234056657370875,-4.514070225088577,False,Inlier,1.2681668758835318,-0.98882241701546,4.967572293250389,54,0.35526315789473684,12.861236572265625,2.5424915865847937,19.694904027899945,4.669631402523936,-1.0447139082376364,0.044713908237636435,0.7642170493825944,8.195930480957031
