experiment,model,otype,param_max_depth,param_min_samples_split,param_max_features,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_C,param_epsilon,param_units,param_dropout,param_l2_reg,param_lr,param_filters,param_kernel_size,param_num_heads,param_d_model,param_num_layers
Exp_041,SVR,Inlier,,,,,,,,,10.0,0.5,,,,,,,,,
Exp_041,LSTM,Inlier,,,,,,,,,,,16,0.3,0.005,0.001,,,,,
Exp_041,CNN,Inlier,,,,,,,,,,,,0.3,0.01,,32,7,,,
Exp_041,Transformer,Inlier,,,,,,,,,,,,0.1,,0.0005,,,4,24,2
Exp_042,RF,Inlier,12,20,0.4,,,,,,,,,,,,,,,,
Exp_042,XGB,Inlier,5,,,0.015,0.8,0.7,0.5,8.0,,,,,,,,,,,
Exp_042,SVR,Inlier,,,,,,,,,100.0,1.5,,,,,,,,,
Exp_042,LSTM,Inlier,,,,,,,,,,,64,0.4,0.01,0.002,,,,,
Exp_042,CNN,Inlier,,,,,,,,,,,,0.4,0.01,,16,7,,,
Exp_042,Transformer,Inlier,,,,,,,,,,,,0.2,,0.001,,,2,32,1
Exp_043,RF,Inlier,6,10,0.3,,,,,,,,,,,,,,,,
Exp_043,XGB,Inlier,5,,,0.02,0.7,0.9,0.5,3.0,,,,,,,,,,,
Exp_043,SVR,Inlier,,,,,,,,,100.0,2.0,,,,,,,,,
Exp_043,LSTM,Inlier,,,,,,,,,,,64,0.1,0.001,0.0005,,,,,
Exp_043,CNN,Inlier,,,,,,,,,,,,0.2,0.001,,32,5,,,
Exp_043,Transformer,Inlier,,,,,,,,,,,,0.2,,0.0005,,,4,64,1
Exp_044,RF,Inlier,8,30,0.3,,,,,,,,,,,,,,,,
Exp_044,XGB,Inlier,4,,,0.02,0.6,0.8,5.0,1.0,,,,,,,,,,,
Exp_044,SVR,Inlier,,,,,,,,,30.0,1.5,,,,,,,,,
Exp_044,LSTM,Inlier,,,,,,,,,,,48,0.1,0.01,0.001,,,,,
Exp_044,CNN,Inlier,,,,,,,,,,,,0.1,0.02,,32,7,,,
Exp_044,Transformer,Type2,,,,,,,,,,,,0.4,,0.001,,,2,64,2
Exp_045,RF,Inlier,12,15,0.3,,,,,,,,,,,,,,,,
Exp_045,XGB,Type1,6,,,0.015,0.7,0.7,5.0,8.0,,,,,,,,,,,
Exp_045,SVR,Inlier,,,,,,,,,80.0,0.5,,,,,,,,,
Exp_045,LSTM,Inlier,,,,,,,,,,,48,0.3,0.005,0.0005,,,,,
Exp_045,CNN,Inlier,,,,,,,,,,,,0.2,0.02,,48,3,,,
Exp_045,Transformer,Inlier,,,,,,,,,,,,0.2,,0.002,,,2,48,2
Exp_046,RF,Inlier,10,40,0.4,,,,,,,,,,,,,,,,
Exp_046,XGB,Inlier,6,,,0.03,0.9,0.8,0.5,10.0,,,,,,,,,,,
Exp_046,SVR,Inlier,,,,,,,,,30.0,0.5,,,,,,,,,
Exp_046,LSTM,Inlier,,,,,,,,,,,64,0.4,0.001,0.001,,,,,
Exp_046,CNN,Inlier,,,,,,,,,,,,0.4,0.001,,32,5,,,
Exp_046,Transformer,Inlier,,,,,,,,,,,,0.1,,0.001,,,4,64,2
Exp_047,RF,Inlier,10,40,0.5,,,,,,,,,,,,,,,,
Exp_047,XGB,Inlier,3,,,0.01,0.6,0.9,5.0,1.0,,,,,,,,,,,
Exp_047,SVR,Inlier,,,,,,,,,80.0,1.0,,,,,,,,,
Exp_047,LSTM,Inlier,,,,,,,,,,,16,0.1,0.005,0.0005,,,,,
Exp_047,CNN,Inlier,,,,,,,,,,,,0.4,0.01,,64,7,,,
Exp_047,Transformer,Type2,,,,,,,,,,,,0.2,,0.0005,,,4,24,1
Exp_048,RF,Inlier,10,40,0.4,,,,,,,,,,,,,,,,
Exp_048,XGB,Inlier,5,,,0.015,0.7,0.8,5.0,8.0,,,,,,,,,,,
Exp_048,SVR,Inlier,,,,,,,,,100.0,2.0,,,,,,,,,
Exp_048,LSTM,Inlier,,,,,,,,,,,24,0.3,0.01,0.002,,,,,
Exp_048,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,48,7,,,
Exp_048,Transformer,Inlier,,,,,,,,,,,,0.2,,0.002,,,4,16,2
Exp_049,RF,Inlier,10,20,0.3,,,,,,,,,,,,,,,,
Exp_049,XGB,Inlier,6,,,0.015,0.7,0.8,0.5,10.0,,,,,,,,,,,
Exp_049,SVR,Inlier,,,,,,,,,10.0,1.0,,,,,,,,,
Exp_049,LSTM,Inlier,,,,,,,,,,,64,0.5,0.01,0.001,,,,,
Exp_049,CNN,Inlier,,,,,,,,,,,,0.1,0.005,,24,3,,,
Exp_049,Transformer,Type2,,,,,,,,,,,,0.2,,0.002,,,2,24,2
Exp_050,RF,Inlier,10,20,0.3,,,,,,,,,,,,,,,,
Exp_050,XGB,Inlier,3,,,0.01,0.7,0.6,2.0,10.0,,,,,,,,,,,
Exp_050,SVR,Inlier,,,,,,,,,50.0,1.0,,,,,,,,,
Exp_050,LSTM,Inlier,,,,,,,,,,,16,0.4,0.01,0.001,,,,,
Exp_050,CNN,Inlier,,,,,,,,,,,,0.4,0.01,,48,7,,,
Exp_050,Transformer,Inlier,,,,,,,,,,,,0.2,,0.0005,,,4,32,1
Exp_051,RF,Inlier,12,20,0.7,,,,,,,,,,,,,,,,
